Name,Fruit 1,Fruit 2,Fruit 3,Fruit 4,Total Fruits Bought,Date,Day,Purchase ID
Jamie,Apple,Papaya,Pineapple,Apple,11,2000-01-07,Fri,1295
Ralph,Apple,Orange,Pineapple,Tangerine,20,2000-01-07,Fri,1296
Pauline,Apple,Strawberry,Pineapple,Papaya,7,2000-01-07,Fri,1297
Ralph,Watermelon,Apple,Tangerine,Pawpaw,4,2000-01-07,Fri,1298
Philip,Orange,Strawberry,Tangerine,Guava,8,2000-01-07,Fri,1299
Sam,Banana,Tangerine,Tangerine,Papaya,7,2000-01-07,Fri,1300
Pauline,Watermelon,Strawberry,Orange,Orange,10,2000-01-07,Fri,1301
Hauwa,Banana,Papaya,Strawberry,Guava,6,2000-01-07,Fri,1302
Esther,Banana,Apple,Tangerine,Orange,10,2000-01-07,Fri,1303
Jamie,Pineapple,Banana,Orange,Pawpaw,20,2000-01-07,Fri,1304
Pauline,Apple,Tangerine,Tangerine,Pineapple,10,2000-01-07,Fri,1305
Jerry,Papaya,Banana,Strawberry,Pineapple,5,2000-01-07,Fri,1306
Sam,Orange,Papaya,Orange,Guava,5,2000-01-07,Fri,1307
Jerry,Papaya,Apple,Tangerine,Tangerine,10,2000-01-07,Fri,1308
Sam,Watermelon,Pineapple,Pineapple,Pineapple,8,2000-01-07,Fri,1309
Hauwa,Banana,Strawberry,Strawberry,Papaya,10,2000-01-07,Fri,1310
Ralph,Apple,Apple,Tangerine,Orange,8,2000-01-07,Fri,1311
Ralph,Apple,Apple,Tangerine,Tangerine,17,2000-01-07,Fri,1312
Pauline,Pineapple,Banana,Strawberry,Orange,8,2000-01-07,Fri,1313
Pauline,Papaya,Apple,Pineapple,Pawpaw,17,2000-01-07,Fri,1314
Pauline,Banana,Apple,Orange,Pawpaw,6,2000-02-01,Tue,1315
Hauwa,Pineapple,Papaya,Tangerine,Orange,17,2000-02-01,Tue,1316
Hauwa,Apple,Strawberry,Pineapple,Pawpaw,6,2000-02-01,Tue,1317
Philip,Pineapple,Orange,Strawberry,Pawpaw,8,2000-02-01,Tue,1318
Ralph,Papaya,Banana,Strawberry,Papaya,5,2000-02-01,Tue,1319
Hauwa,Banana,Apple,Strawberry,Pawpaw,10,2000-02-01,Tue,1320
Esther,Orange,Apple,Pineapple,Tangerine,10,2000-02-01,Tue,1321
Philip,Orange,Orange,Pineapple,Guava,5,2000-02-01,Tue,1322
Juliet,Pineapple,Papaya,Orange,Papaya,11,2000-02-01,Tue,1323
Ralph,Watermelon,Banana,Strawberry,Orange,5,2000-02-01,Tue,1324
Ralph,Pineapple,Apple,Pineapple,Tangerine,17,2000-02-01,Tue,1325
Pauline,Papaya,Tangerine,Pineapple,Orange,6,2000-02-01,Tue,1326
Sam,Watermelon,Pineapple,Tangerine,Guava,10,2000-02-01,Tue,1327
Philip,Pineapple,Apple,Orange,Apple,10,2000-02-01,Tue,1328
Hauwa,Pineapple,Apple,Strawberry,Tangerine,5,2000-02-01,Tue,1329
Philip,Banana,Tangerine,Strawberry,Pineapple,9,2000-02-01,Tue,1330
Esther,Pineapple,Papaya,Tangerine,Papaya,21,2000-02-01,Tue,1331
Esther,Watermelon,Tangerine,Strawberry,Papaya,20,2000-02-01,Tue,1332
Jerry,Papaya,Strawberry,Pineapple,Papaya,8,2000-02-01,Tue,1333
Juliet,Apple,Tangerine,Tangerine,Orange,10,2000-02-01,Tue,1334
Juliet,Apple,Papaya,Strawberry,Tangerine,8,2000-02-01,Tue,1335
Jamie,Orange,Pineapple,Pineapple,Pawpaw,20,2000-02-01,Tue,1336
Philip,Orange,Papaya,Tangerine,Pineapple,8,2000-02-01,Tue,1337
Pauline,Apple,Strawberry,Strawberry,Guava,8,2000-02-01,Tue,1338
Sam,Banana,Pineapple,Orange,Pawpaw,10,2000-02-01,Tue,1339
